field_size_m2,kVp,mm_Cu,BSF,f,mm_Al_inherent_filtration
0.04,80,0.3,1.55,1.036,3.1
0.04,80,0.6,1.589,1.04,3.1
0.04,80,0.9,1.604,1.043,2.5
0.04,80,0.9,1.604,1.043,3.1
0.04,110,0,1.425,1.041,2.5
0.04,110,0,1.446,1.041,3.1
0.04,110,0,1.472,1.043,4.1
0.04,110,0,1.492,1.044,5.1
0.04,110,0.1,1.515,1.045,3.1
0.04,110,0.1,1.526,1.046,4.1
0.04,110,0.2,1.546,1.048,3.1
0.04,110,0.2,1.552,1.049,4.1
0.04,110,0.3,1.56,1.05,2.5
0.04,110,0.3,1.562,1.05,3.1
0.04,110,0.6,1.578,1.055,3.1
0.04,110,0.9,1.578,1.059,2.5
0.04,110,0.9,1.578,1.059,3.1
0.04,150,0,1.458,1.053,2.5
0.04,150,0,1.473,1.053,3.1
0.04,150,0,1.491,1.055,4.1
0.04,150,0,1.504,1.056,5.1
0.04,150,0.1,1.517,1.057,3.1
0.04,150,0.1,1.523,1.058,4.1
0.04,150,0.2,1.532,1.06,3.1
0.04,150,0.2,1.534,1.061,4.1
0.04,150,0.3,1.537,1.062,2.5
0.04,150,0.3,1.537,1.062,3.1
0.04,150,0.6,1.534,1.067,3.1
0.04,150,0.9,1.523,1.071,2.5
0.04,150,0.9,1.523,1.071,3.1
0.0625,50,0,1.264,1.016,2.5
0.0625,50,0,1.285,1.016,3.1
0.0625,50,0,1.315,1.016,4.1
0.0625,50,0,1.338,1.016,5.1
0.0625,50,0.1,1.366,1.016,3.1
0.0625,50,0.1,1.381,1.016,4.1
0.0625,50,0.2,1.412,1.016,3.1
0.0625,50,0.2,1.422,1.017,4.1
0.0625,50,0.3,1.438,1.017,2.5
0.0625,50,0.3,1.443,1.017,3.1
0.0625,50,0.6,1.496,1.018,3.1
0.0625,50,0.9,1.523,1.019,2.5
0.0625,50,0.9,1.524,1.019,3.1
0.0625,80,0,1.375,1.027,2.5
0.0625,80,0,1.4,1.028,3.1
0.0625,80,0,1.434,1.029,4.1
0.0625,80,0,1.46,1.03,5.1
0.0625,80,0.1,1.492,1.031,3.1
0.0625,80,0.1,1.509,1.032,4.1
0.0625,80,0.2,1.541,1.034,3.1
0.0625,80,0.2,1.551,1.034,4.1
0.0625,80,0.3,1.568,1.035,2.5
0.0625,80,0.3,1.572,1.036,3.1
0.0625,80,0.6,1.617,1.04,3.1
0.0625,80,0.9,1.634,1.043,2.5
0.0625,80,0.9,1.635,1.043,3.1
0.0625,110,0,1.44,1.04,2.5
0.0625,110,0,1.463,1.041,3.1
0.0625,110,0,1.491,1.042,4.1
0.0625,110,0,1.513,1.043,5.1
0.0625,110,0.1,1.538,1.045,3.1
0.0625,110,0.1,1.55,1.046,4.1
0.0625,110,0.2,1.573,1.048,3.1
0.0625,110,0.2,1.579,1.048,4.1
0.0625,110,0.3,1.589,1.05,2.5
0.0625,110,0.3,1.591,1.05,3.1
0.0625,110,0.6,1.611,1.055,3.1
0.0625,110,0.9,1.614,1.058,2.5
0.0625,110,0.9,1.613,1.058,3.1
0.0625,150,0,1.479,1.052,2.5
0.0625,150,0,1.495,1.053,3.1
0.0625,150,0,1.515,1.054,4.1
0.0625,150,0,1.528,1.055,5.1
0.0625,150,0.1,1.544,1.057,3.1
0.0625,150,0.1,1.55,1.057,4.1
0.0625,150,0.2,1.561,1.059,3.1
0.0625,150,0.2,1.564,1.06,4.1
0.0625,150,0.3,1.568,1.061,2.5
0.0625,150,0.3,1.568,1.062,3.1
0.0625,150,0.6,1.567,1.067,3.1
0.0625,150,0.9,1.558,1.07,2.5
0.0625,150,0.9,1.557,1.071,3.1
0.1225,50,0,1.265,1.016,2.5
0.1225,50,0,1.287,1.016,3.1
0.1225,50,0,1.317,1.016,4.1
0.1225,50,0,1.34,1.016,5.1
0.1225,50,0.1,1.368,1.016,3.1
0.1225,50,0.1,1.384,1.016,4.1
0.1225,50,0.2,1.416,1.016,3.1
0.1225,50,0.2,1.426,1.017,4.1
0.1225,50,0.3,1.443,1.017,2.5
0.1225,50,0.3,1.448,1.017,3.1
0.1225,50,0.6,1.503,1.018,3.1
0.1225,50,0.9,1.531,1.019,2.5
0.1225,50,0.9,1.532,1.019,3.1
0.1225,80,0,1.381,1.027,2.5
0.1225,80,0,1.408,1.028,3.1
0.1225,80,0,1.443,1.029,4.1
0.1225,80,0,1.47,1.03,5.1
0.1225,80,0.1,1.504,1.031,3.1
0.1225,80,0.1,1.521,1.032,4.1
0.1225,80,0.2,1.556,1.033,3.1
0.1225,80,0.2,1.567,1.034,4.1
0.1225,80,0.3,1.585,1.035,2.5
0.1225,80,0.3,1.589,1.035,3.1
0.1225,80,0.6,1.639,1.04,3.1
0.1225,80,0.9,1.659,1.042,2.5
0.1225,80,0.9,1.66,1.042,3.1
0.1225,110,0,1.453,1.04,2.5
0.1225,110,0,1.476,1.041,3.1
0.1225,110,0,1.506,1.042,4.1
0.1225,110,0,1.529,1.043,5.1
0.1225,110,0.1,1.557,1.045,3.1
0.1225,110,0.1,1.57,1.045,4.1
0.1225,110,0.2,1.595,1.047,3.1
0.1225,110,0.2,1.602,1.048,4.1
0.1225,110,0.3,1.613,1.049,2.5
0.1225,110,0.3,1.616,1.05,3.1
0.1225,110,0.6,1.64,1.054,3.1
0.1225,110,0.9,1.645,1.058,2.5
0.1225,110,0.9,1.645,1.058,3.1
0.1225,150,0,1.497,1.052,2.5
0.1225,150,0,1.514,1.052,3.1
0.1225,150,0,1.536,1.054,4.1
0.1225,150,0,1.551,1.055,5.1
0.1225,150,0.1,1.568,1.056,3.1
0.1225,150,0.1,1.575,1.057,4.1
0.1225,150,0.2,1.589,1.059,3.1
0.1225,150,0.2,1.592,1.059,4.1
0.1225,150,0.3,1.596,1.061,2.5
0.1225,150,0.3,1.597,1.061,3.1
0.1225,150,0.6,1.6,1.066,3.1
0.1225,150,0.9,1.592,1.07,2.5
0.1225,150,0.9,1.592,1.07,3.1
